step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
22,220,0.440000,0.223232,0.423575,0.998569,0.010449,0.052412,0.002158,0.105084,-0.020789,-0.994246,5.384408,-0.343471,-0.560320,1.355816,0.260683,-0.203235,-0.017226,0.069666,-0.523875,-0.340080,0.338954,-0.3553,8.7940,-0.0832,11.7730,
23,230,0.460000,0.233333,0.423346,0.998628,0.012237,0.050853,-0.002447,0.101888,-0.023908,-0.994508,5.488517,-0.364044,-0.958377,1.499224,0.191888,-0.217543,-0.004601,0.066374,-0.651513,-0.439594,0.374806,-2.6988,9.2853,0.5092,12.2317,
24,240,0.480000,0.243434,0.423046,0.998588,0.014650,0.050671,-0.006325,0.101374,-0.028293,-0.994446,5.532270,-0.365790,-1.274125,1.605900,0.142647,-0.236821,0.011783,0.061550,-1.225925,-0.518531,0.401475,-4.2443,8.9543,-0.6548,14.4441,
25,250,0.500000,0.253535,0.422688,0.998451,0.018004,0.051984,-0.008362,0.103767,-0.034341,-0.994009,5.575279,-0.340392,-1.480113,1.651242,0.109915,-0.267468,0.044162,0.061620,-1.730982,-0.570028,0.412810,-4.9354,7.7724,-0.7842,15.3832,
26,260,0.520000,0.263636,0.422516,0.998203,0.023041,0.054384,-0.010107,0.108548,-0.043787,-0.993126,5.655650,-0.286617,-1.558206,1.636357,0.088999,-0.306058,0.088273,0.059272,-2.047713,-0.589552,0.409089,-4.8475,6.1730,-0.6884,14.8802,
27,270,0.540000,0.273737,0.422726,0.997908,0.028042,0.056884,-0.012555,0.113785,-0.053738,-0.992051,5.773859,-0.213395,-1.512191,1.572779,0.068510,-0.347669,0.139822,0.053856,-2.097913,-0.578048,0.393195,-4.1096,3.9756,-0.4544,13.8222,
28,280,0.560000,0.283838,0.423534,0.997639,0.032257,0.058375,-0.016399,0.117354,-0.061554,-0.991181,5.881210,-0.127592,-1.408770,1.470742,0.059447,-0.385679,0.192189,0.046173,-1.772767,-0.552193,0.367686,-3.1119,2.3519,-0.2859,11.3752,
29,290,0.580000,0.293939,0.424276,0.997403,0.036377,0.058185,-0.021874,0.117801,-0.069316,-0.990615,5.958303,-0.039372,-1.323443,1.375319,0.066348,-0.415431,0.237935,0.038137,-1.327117,-0.530861,0.343830,-2.1122,0.6972,-0.1029,8.6724,
30,300,0.600000,0.304040,0.424630,0.997209,0.038842,0.056643,-0.029286,0.115586,-0.073888,-0.990546,6.006759,0.045812,-1.265358,1.325072,0.087857,-0.436503,0.277616,0.031093,-0.912548,-0.516339,0.331268,-1.4619,-0.7379,0.0675,6.3981,
31,310,0.620000,0.314141,0.424472,0.997016,0.038836,0.054449,-0.038545,0.111984,-0.073519,-0.990987,6.046445,0.126061,-1.198638,1.321425,0.107498,-0.450663,0.310906,0.026319,-0.614959,-0.499660,0.330356,-1.0478,-1.6130,0.1911,5.3338,
