step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
22,220,0.440000,0.176800,0.432653,0.992624,0.018570,-0.098912,0.067592,-0.198472,-0.023338,-0.979829,7.484306,-1.051723,0.795869,1.076522,0.374877,0.000076,-0.043403,-0.049730,0.000752,-0.001033,0.269130,-1.5717,9.7877,2.8634,22.0000,
23,230,0.460000,0.184800,0.432901,0.991604,0.020747,-0.100667,0.078463,-0.202499,-0.025135,-0.978960,7.547203,-1.045978,1.034924,1.053842,0.562333,0.000084,-0.043456,-0.049538,0.000192,0.058731,0.263460,-0.0338,9.3823,4.2797,22.0000,
24,240,0.480000,0.192800,0.433044,0.990429,0.023271,-0.102498,0.089461,-0.206748,-0.027492,-0.978008,7.656143,-1.043392,1.232729,1.053476,0.730666,0.000080,-0.043528,-0.049213,-0.000389,0.108182,0.263369,1.7601,9.2151,5.6663,22.0000,
25,250,0.500000,0.200800,0.433039,0.989133,0.026016,-0.104638,0.099946,-0.211671,-0.030259,-0.976873,7.794574,-1.040380,1.326572,1.069442,0.874272,0.000066,-0.043594,-0.048779,-0.000815,0.131643,0.267360,3.2447,9.2131,6.9085,22.0000,
26,260,0.520000,0.208800,0.432910,0.987749,0.028854,-0.107246,0.109628,-0.217551,-0.033190,-0.975484,7.956055,-1.036699,1.294601,1.109071,0.986785,0.000047,-0.043636,-0.048266,-0.000936,0.123650,0.277268,3.9493,9.3321,7.9650,22.0000,
27,270,0.540000,0.216800,0.432708,0.986244,0.031759,-0.110437,0.118818,-0.224615,-0.036112,-0.973778,8.204739,-1.033535,1.172322,1.172622,1.065932,0.000031,-0.043659,-0.047689,-0.000634,0.093080,0.293155,3.7095,9.6292,8.7866,22.0000,
28,280,0.560000,0.224800,0.432442,0.984512,0.034830,-0.114270,0.128320,-0.233026,-0.038968,-0.971689,8.422341,-1.032424,1.018977,1.247523,1.119447,0.000026,-0.043678,-0.047050,0.000003,0.054744,0.311881,2.7916,10.1054,9.3578,22.0000,
29,290,0.580000,0.232800,0.432075,0.982297,0.038365,-0.119585,0.138998,-0.244425,-0.041839,-0.968765,8.533873,-1.028706,0.911530,1.307112,1.200299,0.000044,-0.043687,-0.046371,0.001013,0.027882,0.326778,1.6395,10.6679,9.7347,22.0000,
30,300,0.600000,0.240800,0.431583,0.979602,0.042364,-0.125134,0.151416,-0.256742,-0.044778,-0.965442,8.566475,-1.025478,0.847282,1.331465,1.279163,0.000068,-0.043719,-0.045614,0.001409,0.011821,0.332866,0.8323,11.1191,10.3112,22.0000,
31,310,0.620000,0.248800,0.431044,0.976340,0.047150,-0.130710,0.165688,-0.269526,-0.048358,-0.961778,8.581997,-1.022239,0.831932,1.316216,1.396971,0.000096,-0.043783,-0.044807,0.001214,0.007983,0.329054,0.3499,11.3052,10.8770,22.0000,
32,320,0.640000,0.256800,0.430491,0.972585,0.052686,-0.136159,0.181007,-0.282648,-0.052704,-0.957775,8.617788,-1.013888,0.950429,1.271263,1.581168,0.000131,-0.043893,-0.043920,0.001794,0.037607,0.317816,0.2329,11.1984,11.7245,22.0000,
33,330,0.660000,0.264800,0.429897,0.968388,0.058952,-0.141033,0.197126,-0.295196,-0.058003,-0.953675,8.730259,-0.998837,1.140681,1.221038,1.761962,0.000160,-0.044048,-0.042886,0.001271,0.085170,0.305259,1.1215,10.8672,13.0642,22.7534,
34,340,0.680000,0.272800,0.429251,0.963896,0.065757,-0.145324,0.213215,-0.307023,-0.064078,-0.949542,8.869372,-0.986000,1.292625,1.185733,1.896310,0.000177,-0.044203,-0.041725,0.000709,0.123156,0.296433,2.5487,10.4962,14.3758,23.7607,
35,350,0.700000,0.280800,0.428561,0.959240,0.072938,-0.149018,0.228764,-0.318231,-0.071018,-0.945349,9.046833,-0.974340,1.397377,1.160049,2.014647,0.000183,-0.044334,-0.040480,-0.000178,0.149344,0.290012,3.6895,10.2319,15.3419,24.7406,
36,360,0.720000,0.288800,0.427912,0.954492,0.080264,-0.152215,0.243584,-0.328686,-0.078321,-0.941186,9.252473,-0.960244,1.440225,1.144004,2.146170,0.000180,-0.044422,-0.039189,-0.000239,0.160056,0.286001,4.4753,10.0393,16.1871,25.6658,
37,370,0.740000,0.296800,0.427362,0.949566,0.087588,-0.155034,0.258102,-0.338662,-0.085574,-0.937008,9.427319,-0.951096,1.375880,1.152280,2.237317,0.000172,-0.044493,-0.037827,-0.000237,0.143970,0.288070,4.7969,9.9226,17.1247,26.8297,
38,380,0.760000,0.304800,0.426896,0.944357,0.094717,-0.157704,0.272667,-0.348509,-0.092262,-0.932754,9.558467,-0.943966,1.234611,1.176740,2.309529,0.000163,-0.044567,-0.036373,-0.000661,0.108653,0.294185,4.3152,9.9856,17.7592,28.4626,
39,390,0.780000,0.312800,0.426442,0.938608,0.101837,-0.160403,0.287949,-0.358729,-0.098294,-0.928252,9.600632,-0.937976,1.130187,1.196136,2.377603,0.000155,-0.044667,-0.034820,-0.000454,0.082547,0.299034,3.2556,10.1721,18.2475,30.6175,
40,400,0.800000,0.320800,0.425878,0.932052,0.109015,-0.163286,0.304521,-0.369654,-0.103326,-0.923407,9.577917,-0.932948,1.106459,1.192532,2.434482,0.000152,-0.044780,-0.033173,-0.000251,0.076615,0.298133,2.4722,10.3236,18.7007,32.2445,
41,410,0.820000,0.328800,0.425157,0.924517,0.116373,-0.166580,0.322453,-0.381774,-0.107411,-0.917993,9.511208,-0.928970,1.150461,1.164731,2.466676,0.000147,-0.044928,-0.031428,-0.000296,0.087615,0.291183,2.2945,10.3050,19.0672,33.2263,
42,420,0.840000,0.336800,0.424240,0.915998,0.123949,-0.170470,0.341357,-0.395451,-0.110442,-0.911823,9.465087,-0.922316,1.280697,1.118964,2.517536,0.000137,-0.045088,-0.029611,-0.000730,0.120174,0.279741,2.6254,10.1007,19.2500,33.7619,
43,430,0.860000,0.344800,0.423097,0.906567,0.131780,-0.175064,0.360727,-0.410832,-0.112478,-0.904746,9.476955,-0.911846,1.450554,1.064510,2.618222,0.000118,-0.045251,-0.027733,-0.001131,0.162638,0.266128,3.6034,9.7612,19.5715,33.3691,
44,440,0.880000,0.352800,0.421613,0.896333,0.139985,-0.180534,0.379999,-0.428168,-0.113675,-0.896521,9.552543,-0.901325,1.566931,1.028996,2.754347,0.000085,-0.045312,-0.025886,-0.001893,0.191733,0.257249,4.8794,9.3386,20.2824,32.3661,
45,450,0.900000,0.360800,0.419755,0.885364,0.148504,-0.187138,0.398818,-0.447756,-0.113740,-0.886892,9.676367,-0.890471,1.560404,1.023331,2.910729,0.000041,-0.045309,-0.024033,-0.002354,0.190101,0.255833,5.7543,9.0756,21.2384,31.3619,
