step,time,z,tau_max,dof_err
152,3.0400,0.3510,30.1,1.1320
153,3.0600,0.3380,36.0,1.3205
154,3.0800,0.3304,36.0,1.6558
155,3.1000,0.3287,36.0,1.9345
156,3.1200,0.3246,36.0,2.2177
157,3.1400,0.3269,36.0,2.6323
158,3.1600,0.3343,36.0,2.5621
159,3.1800,0.3359,36.0,2.4889
160,3.2000,0.3224,36.0,2.5396
161,3.2200,0.2956,36.0,2.5950
162,3.2400,0.2574,36.0,2.8499
163,3.2600,0.2222,36.0,2.8880
164,3.2800,0.1941,36.0,2.5459
165,3.3000,0.1738,36.0,2.1368
166,3.3200,0.1692,36.0,2.0351
167,3.3400,0.1775,36.0,1.7483
168,3.3600,0.1831,36.0,1.2503
169,3.3800,0.1983,36.0,1.2362
170,3.4000,0.2213,36.0,1.5625
171,3.4200,0.2535,36.0,2.1883
172,3.4400,0.2671,36.0,2.9572
173,3.4600,0.2870,36.0,3.3870
174,3.4800,0.3319,36.0,3.3368
175,3.5000,0.3739,36.0,3.2133
176,3.5200,0.3868,36.0,3.1214
177,3.5400,0.3849,36.0,3.1031
