step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
22,220,0.440000,0.176800,0.416797,0.996991,0.032387,-0.067799,-0.019086,-0.133882,-0.067329,-0.988707,3.515691,-0.170449,1.331778,0.388210,0.104025,0.174331,0.021387,-0.036478,0.280659,0.132945,0.097052,-1.8127,1.3350,0.9988,9.8778,
23,230,0.460000,0.184800,0.416535,0.996992,0.031169,-0.068050,-0.020111,-0.134451,-0.065149,-0.988776,3.494539,-0.170084,1.361153,0.468504,0.152842,0.180068,0.027696,-0.028243,0.267960,0.140288,0.117126,-1.8156,1.5452,1.0444,9.7695,
24,240,0.480000,0.192800,0.416256,0.997026,0.029469,-0.067893,-0.021491,-0.134207,-0.062025,-0.989010,3.504871,-0.167836,1.402599,0.547459,0.203403,0.185709,0.035875,-0.019115,0.268373,0.150650,0.136865,-1.7652,1.7740,1.0690,9.6692,
25,250,0.500000,0.200800,0.415920,0.997074,0.027322,-0.067439,-0.023430,-0.133340,-0.058063,-0.989368,3.585475,-0.165395,1.453972,0.617594,0.254194,0.191690,0.045521,-0.008961,0.297545,0.163493,0.154399,-1.6775,1.9847,1.0696,9.5603,
26,260,0.520000,0.208800,0.415499,0.997113,0.024920,-0.066849,-0.026016,-0.132149,-0.053627,-0.989778,3.663512,-0.164070,1.513915,0.678182,0.302982,0.196859,0.055838,0.001755,0.223060,0.178479,0.169546,-1.3356,2.1743,1.0922,9.4122,
27,270,0.540000,0.216800,0.415091,0.997138,0.021923,-0.066430,-0.028662,-0.131304,-0.048201,-0.990170,3.735888,-0.162896,1.588660,0.737466,0.340927,0.200639,0.066996,0.012215,0.158502,0.197165,0.184366,-0.9025,2.1608,1.2104,9.2062,
28,280,0.560000,0.224800,0.414721,0.997143,0.018247,-0.066198,-0.031476,-0.130912,-0.041229,-0.990536,3.804167,-0.162699,1.666517,0.801038,0.359526,0.203950,0.078655,0.022484,0.165099,0.216629,0.200259,-0.4512,2.3654,1.1415,8.9648,
29,290,0.580000,0.232800,0.414168,0.997075,0.014703,-0.066217,-0.035212,-0.130995,-0.034600,-0.990779,3.872283,-0.164605,1.737536,0.873358,0.357466,0.207893,0.088045,0.032898,0.210495,0.234384,0.218340,-0.0537,2.7567,0.9699,8.6939,
30,300,0.600000,0.240800,0.413397,0.996933,0.011404,-0.066452,-0.039721,-0.131544,-0.028573,-0.990898,3.942224,-0.169966,1.787073,0.961676,0.338268,0.212938,0.094618,0.042715,0.267089,0.246768,0.240419,0.2427,3.3173,0.7154,8.3901,
31,310,0.620000,0.248800,0.412412,0.996743,0.008416,-0.066603,-0.044673,-0.132022,-0.023221,-0.990975,4.011086,-0.178096,1.801531,1.063311,0.310795,0.218918,0.098296,0.051303,0.303294,0.250383,0.265828,0.3806,4.0789,0.4106,8.0946,
