step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
23,230,0.460000,0.184800,0.423532,0.997626,0.011010,0.067408,-0.008766,0.134726,-0.020253,-0.990676,4.772034,-0.238128,0.270106,1.044862,0.331869,-0.158501,-0.020747,0.056039,-0.440933,-0.132474,0.261215,2.6683,7.5256,0.7346,11.3219,
24,240,0.480000,0.192800,0.423965,0.997576,0.013733,0.066778,-0.013917,0.133908,-0.025080,-0.990676,5.055827,-0.271928,-0.091663,1.145455,0.286869,-0.170102,-0.011924,0.057127,-0.471343,-0.222916,0.286364,1.8359,7.4784,0.7710,12.1548,
25,250,0.500000,0.200800,0.424351,0.997581,0.016795,0.064935,-0.018280,0.130649,-0.030529,-0.990959,5.257478,-0.315950,-0.558873,1.285294,0.226435,-0.182974,-0.003660,0.056322,-0.587415,-0.339718,0.321324,-0.3171,8.1589,0.5460,12.5797,
26,260,0.520000,0.208800,0.424818,0.997520,0.021825,0.063318,-0.021654,0.127548,-0.039721,-0.991037,5.343736,-0.346177,-0.986880,1.432335,0.167370,-0.200644,0.001638,0.054485,-0.939724,-0.446720,0.358084,-2.7626,9.2084,0.2020,12.5781,
27,270,0.540000,0.216800,0.425516,0.997281,0.029933,0.063357,-0.022824,0.127575,-0.055077,-0.990299,5.414149,-0.356297,-1.311300,1.520375,0.115697,-0.230372,0.014936,0.054234,-1.772403,-0.527825,0.380094,-3.8318,8.5952,-0.4112,13.1341,
28,280,0.560000,0.224800,0.426688,0.996720,0.041569,0.065419,-0.023292,0.131826,-0.077387,-0.988248,5.456195,-0.346833,-1.503374,1.540323,0.076399,-0.272334,0.044010,0.054393,-2.309879,-0.575844,0.385081,-4.1999,7.4245,-0.7505,13.3537,
29,290,0.580000,0.232800,0.428096,0.995889,0.054506,0.068274,-0.023953,0.138043,-0.102859,-0.985071,5.466473,-0.313864,-1.529105,1.504813,0.049842,-0.320721,0.085133,0.053539,-2.534669,-0.582276,0.376203,-3.8517,5.5463,-0.9323,12.8576,
30,300,0.600000,0.240800,0.429080,0.995137,0.064313,0.070184,-0.025301,0.142710,-0.122956,-0.982098,5.590763,-0.256970,-1.406297,1.432441,0.024678,-0.371759,0.136897,0.050669,-2.548643,-0.551574,0.358110,-2.4926,3.0935,-0.8176,11.9509,
31,310,0.620000,0.248800,0.429535,0.994859,0.068055,0.069710,-0.027670,0.142738,-0.131202,-0.981026,5.695103,-0.179689,-1.243849,1.341727,0.008234,-0.416151,0.192375,0.044272,-2.038136,-0.510962,0.335432,-1.0055,1.0065,-0.6139,10.4535,
32,320,0.640000,0.256800,0.429176,0.995032,0.066572,0.066984,-0.031511,0.138153,-0.128862,-0.981992,5.757754,-0.092956,-1.133777,1.266908,0.025372,-0.448782,0.241837,0.036718,-1.412386,-0.483444,0.316727,0.2532,-0.5100,-0.4842,8.4390,
33,330,0.660000,0.264800,0.427943,0.995538,0.059976,0.063007,-0.036581,0.130688,-0.116347,-0.984573,5.786324,-0.002038,-1.056067,1.251456,0.064801,-0.470431,0.282135,0.030908,-0.889856,-0.464017,0.312864,0.9444,-1.4817,-0.3737,6.5658,
34,340,0.680000,0.272800,0.426027,0.996072,0.049905,0.058800,-0.043515,0.122331,-0.096394,-0.987797,5.821880,0.091285,-0.974069,1.296816,0.101195,-0.481727,0.310620,0.028047,-0.354071,-0.443517,0.324204,1.0624,-1.5419,-0.2152,4.7322,
35,350,0.700000,0.280800,0.423659,0.996326,0.038350,0.055066,-0.053218,0.114566,-0.072905,-0.990737,5.888748,0.180507,-0.885841,1.380176,0.125391,-0.483148,0.327720,0.027010,0.125062,-0.421460,0.345044,1.0013,-0.9811,-0.0053,4.7668,
36,360,0.720000,0.288800,0.420973,0.996157,0.026200,0.052044,-0.065386,0.107788,-0.047846,-0.993022,5.991769,0.263744,-0.791189,1.477303,0.132307,-0.476332,0.337196,0.026907,0.519081,-0.397797,0.369326,0.8675,-0.2165,0.1222,5.2840,
37,370,0.740000,0.296800,0.419755,0.995084,0.024264,0.049180,-0.082460,0.102385,-0.040257,-0.993930,6.150864,0.326638,-0.719071,1.580584,0.137015,-0.450349,0.330779,0.028414,1.519484,-0.379768,0.395146,-0.7027,1.7830,0.0446,6.5048,
