step,time,phase,motion_time,ref_root_z,actual_root_z,ref_root_vz,actual_root_vz,ref_yaw,actual_yaw,yaw_error_deg,ref_yaw_rate,actual_yaw_rate,left_contact,right_contact,action_max_abs,action_mean,target_knee_L,target_hip_pitch_L,target_ankle_pitch_L,actual_knee_L,actual_hip_pitch_L,actual_ankle_pitch_L,torque_knee_L,torque_hip_pitch_L,torque_ankle_pitch_L,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torque_max,torque_sat_ratio
16,0.3200,0.095506,0.3200,0.424264,0.425868,-0.021897,-0.065208,-0.012729,-0.540799,30.2562,-0.318853,-12.617947,0,0,16.701952,1.189401,-2.271188,2.385745,2.268856,-0.108357,0.449899,0.471261,-36.0000,36.0000,22.0000,-0.020877,0.024902,0.425868,0.932183,-0.207371,0.197444,-0.221469,36.0000,0.4545
17,0.3400,0.101124,0.3400,0.423609,0.421141,-0.049569,-0.305628,-0.019987,-0.707977,39.4189,-0.363091,-0.780659,0,0,16.047569,0.722346,1.116429,2.475113,2.049348,-0.242763,0.400937,0.463216,17.1695,36.0000,22.0000,-0.038925,0.029679,0.421141,0.886877,-0.268848,0.265491,-0.265864,36.0000,0.5000
18,0.3600,0.106742,0.3600,0.422282,0.408239,-0.056988,-0.872377,-0.028085,-0.622050,34.0317,-0.403317,6.311504,0,0,18.013344,0.137247,3.316714,0.338133,0.737444,-0.021818,0.527051,0.460278,23.1929,-7.1592,6.1525,-0.040794,0.032462,0.408239,0.897986,-0.260952,0.279442,-0.217800,36.0000,0.3636
19,0.3800,0.112360,0.3800,0.421329,0.390146,-0.029261,-0.758687,-0.038498,-0.433722,22.6447,-0.517730,-2.078576,0,0,16.177832,0.812205,2.283036,0.742563,2.247673,0.703588,0.567228,0.451740,-8.7908,-19.4103,22.0000,-0.041018,0.037204,0.390146,0.939787,-0.131019,0.272493,-0.159314,36.0000,0.4545
20,0.4000,0.117978,0.4000,0.421111,0.369688,-0.006363,-1.227251,-0.051229,-0.446578,22.6518,-0.631962,-4.591269,0,1,17.786146,0.704328,-1.644084,0.098815,1.258684,1.313284,0.789049,0.454704,-36.0000,-30.1132,15.8625,-0.044196,0.040456,0.369688,0.944778,-0.071448,0.263224,-0.181665,36.0000,0.2273
21,0.4200,0.123596,0.4200,0.421075,0.344756,-0.001523,-1.309268,-0.062176,-0.641594,33.1982,-0.544608,-5.466457,0,0,12.566333,1.499889,1.612034,-1.295542,2.941583,1.424070,0.909993,0.458220,-8.2237,-36.0000,22.0000,-0.054350,0.049139,0.344756,0.921185,-0.138688,0.254117,-0.260018,36.0000,0.2727
22,0.4400,0.129213,0.4400,0.421050,0.321356,-0.002134,-1.066506,-0.070267,-0.738408,38.2817,-0.404328,4.109296,0,0,15.575877,2.416516,-0.570236,3.693969,2.869475,1.546043,0.752269,0.460189,-36.0000,36.0000,22.0000,-0.070040,0.058248,0.321356,0.882156,-0.232281,0.317311,-0.259152,36.0000,0.5000
23,0.4600,0.134831,0.4600,0.420989,0.294786,-0.004590,-1.546092,-0.075503,-0.778364,40.2710,-0.264045,5.560509,0,0,22.396769,0.132126,6.099192,0.660752,3.012002,1.464913,0.792011,0.464546,36.0000,-8.4474,22.0000,-0.074436,0.059129,0.294786,0.818088,-0.381903,0.379142,-0.202814,36.0000,0.4091
24,0.4800,0.140449,0.4800,0.420867,0.264347,-0.007193,-1.149337,-0.079501,-0.757238,38.8315,-0.204136,-0.668717,0,1,18.455774,0.476510,5.113944,-0.121534,3.420774,1.572488,0.868587,0.462338,36.0000,-4.3265,22.0000,-0.074751,0.055817,0.264347,0.810718,-0.398940,0.390255,-0.176871,36.0000,0.3182
25,0.5000,0.146067,0.5000,0.420702,0.252998,-0.009167,-0.244731,-0.082931,-0.850063,43.9534,-0.177909,-7.110858,0,0,21.317642,0.508998,1.998312,-2.467529,1.192796,2.130318,0.628647,0.459553,-36.0000,-36.0000,14.6157,-0.090794,0.065988,0.252998,0.802691,-0.340694,0.457029,-0.175329,36.0000,0.3636
26,0.5200,0.151685,0.5200,0.420500,0.254548,-0.011121,0.151021,-0.085794,-1.101356,58.1874,-0.151660,-7.903373,0,0,16.859711,0.053651,-1.856155,1.483636,2.551180,2.493190,0.181840,0.460239,-36.0000,36.0000,22.0000,-0.107179,0.081264,0.254548,0.757244,-0.291085,0.549188,-0.200608,36.0000,0.4091
27,0.5400,0.157303,0.5400,0.420257,0.247795,-0.012292,-0.788404,-0.088146,-1.400281,75.1798,-0.129235,-5.563722,0,0,14.733469,0.828212,-1.195062,1.689494,3.137472,2.293488,-0.005153,0.464154,-36.0000,20.5792,22.0000,-0.114772,0.097256,0.247795,0.669065,-0.349227,0.583657,-0.299561,36.0000,0.4545
28,0.5600,0.162921,0.5600,0.420008,0.214789,-0.013709,-2.116270,-0.090673,-1.417946,76.0471,-0.139152,4.040976,0,0,15.362953,1.428253,-1.856685,-0.835674,2.619227,1.648887,0.270960,0.466748,-5.2635,-36.0000,22.0000,-0.113845,0.105930,0.214789,0.588485,-0.476677,0.529483,-0.382247,36.0000,0.5000
29,0.5800,0.168539,0.5800,0.419708,0.166444,-0.017962,-2.504358,-0.093385,-1.329200,70.8070,-0.149115,4.538226,0,0,18.746523,3.316797,2.038089,0.045732,3.429890,0.652159,0.633746,0.467758,36.0000,-13.4023,22.0000,-0.112975,0.107916,0.166444,0.486974,-0.618147,0.451853,-0.420214,36.0000,0.4545
30,0.6000,0.174157,0.6000,0.419290,0.115021,-0.018644,-2.617984,-0.089497,-1.246127,66.2700,0.177024,-1.009767,0,0,25.758947,2.772565,2.939970,-3.163371,5.385497,-0.064442,0.624216,0.463174,36.0000,-36.0000,22.0000,-0.112628,0.119380,0.115021,0.333565,-0.732810,0.403187,-0.434930,36.0000,0.4545
31,0.6200,0.179775,0.6200,0.418963,0.058294,-0.018913,-2.995970,-0.087557,-1.201248,63.8098,0.081964,-3.593142,0,0,27.186514,1.347197,-2.381432,-2.639124,6.596628,-0.061352,0.004459,0.458838,-36.0000,3.3480,22.0000,-0.113386,0.140278,0.058294,0.187802,-0.780722,0.365588,-0.470690,36.0000,0.6818
32,0.6400,0.185393,0.6400,0.418533,-0.009077,-0.033841,-3.520789,-0.087557,-1.240043,66.0326,-0.012815,-1.573358,0,0,22.055534,1.118475,-0.311210,-2.001315,5.313884,-0.013666,-0.845553,0.459988,-8.9654,22.7312,22.0000,-0.125326,0.170534,-0.009077,0.072718,-0.765839,0.295289,-0.566575,36.0000,0.6818
