step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
22,220,0.440000,0.221000,0.423613,0.998528,0.010476,0.053189,0.001634,0.106644,-0.020781,-0.994080,5.359536,-0.338813,-0.522185,1.339409,0.263973,-0.202181,-0.017594,0.070455,-0.508578,-0.330546,0.334852,-0.1476,8.7127,-0.1208,11.7624,
23,230,0.460000,0.231000,0.423409,0.998590,0.012340,0.051546,-0.002978,0.103306,-0.024045,-0.994359,5.472595,-0.361265,-0.928080,1.483464,0.194659,-0.216311,-0.005210,0.067862,-0.636691,-0.432020,0.370866,-2.4720,9.1976,0.4853,12.0029,
24,240,0.480000,0.241000,0.423127,0.998553,0.014772,0.051221,-0.007125,0.102515,-0.028414,-0.994326,5.518132,-0.364572,-1.254080,1.594865,0.141852,-0.234816,0.010509,0.061836,-1.123514,-0.513520,0.398716,-4.2309,9.1089,-0.4137,14.2112,
25,250,0.500000,0.251000,0.422786,0.998418,0.018112,0.052393,-0.009352,0.104647,-0.034467,-0.993912,5.558182,-0.341770,-1.473173,1.645162,0.108431,-0.264445,0.041050,0.061608,-1.692756,-0.568293,0.411291,-4.9331,7.8799,-0.7915,15.2996,
26,260,0.520000,0.261000,0.422605,0.998173,0.023076,0.054714,-0.011184,0.109262,-0.043746,-0.993050,5.634395,-0.290568,-1.562441,1.635017,0.087052,-0.302554,0.084206,0.059296,-2.032935,-0.590610,0.408754,-4.9228,6.3009,-0.7025,14.8897,
27,270,0.540000,0.271000,0.422754,0.997869,0.028278,0.057206,-0.013604,0.114479,-0.054071,-0.991953,5.750540,-0.218655,-1.523563,1.574697,0.065743,-0.344197,0.134940,0.053964,-2.119531,-0.580891,0.393674,-4.2131,4.1256,-0.4753,13.8645,
28,280,0.560000,0.281000,0.423535,0.997592,0.032418,0.058790,-0.017395,0.118226,-0.061752,-0.991065,5.861353,-0.133891,-1.420107,1.474514,0.053865,-0.382939,0.187795,0.046192,-1.815304,-0.555027,0.368629,-3.2156,2.4538,-0.2989,11.5408,
29,290,0.580000,0.291000,0.424295,0.997345,0.036585,0.058692,-0.022816,0.118869,-0.069571,-0.990470,5.939999,-0.045881,-1.333422,1.375719,0.058866,-0.413589,0.234003,0.037927,-1.370920,-0.533355,0.343930,-2.1868,0.8099,-0.1209,8.8230,
30,300,0.600000,0.301000,0.424682,0.997139,0.039207,0.057171,-0.030132,0.116722,-0.074446,-0.990371,5.989411,0.039130,-1.274426,1.321741,0.080058,-0.435455,0.274093,0.030531,-0.949870,-0.518606,0.330435,-1.5122,-0.6605,0.0543,6.5065,
31,310,0.620000,0.311000,0.424563,0.996941,0.039381,0.054921,-0.039267,0.113032,-0.074447,-0.990798,6.028040,0.119240,-1.209892,1.315806,0.100948,-0.450246,0.307808,0.025416,-0.643514,-0.502473,0.328952,-1.0855,-1.5777,0.1831,5.3419,
32,320,0.640000,0.321000,0.423878,0.996693,0.036861,0.052551,-0.049818,0.108869,-0.069028,-0.991657,6.079898,0.192109,-1.116820,1.350239,0.116094,-0.460085,0.334870,0.022799,-0.421211,-0.479205,0.337560,-0.6398,-1.9388,0.2402,5.5349,
33,330,0.660000,0.331000,0.422704,0.996294,0.032407,0.050398,-0.061703,0.104780,-0.058786,-0.992756,6.159687,0.259835,-0.999647,1.411200,0.119182,-0.465210,0.355253,0.022402,0.014794,-0.449912,0.352800,-0.4420,-1.5117,0.0617,6.0115,
34,340,0.680000,0.341000,0.422458,0.995284,0.034416,0.048647,-0.076537,0.102351,-0.060723,-0.992893,6.272620,0.312071,-0.868836,1.493768,0.113961,-0.458031,0.356688,0.024653,0.380576,-0.417209,0.373442,-0.3273,-0.0399,0.0613,7.5574,
35,350,0.700000,0.351000,0.422282,0.994221,0.034740,0.046407,-0.090358,0.099088,-0.061074,-0.993203,6.401796,0.336129,-0.702721,1.596242,0.106026,-0.449194,0.359380,0.025554,0.481698,-0.375680,0.399060,0.2370,-0.0105,0.0697,7.4897,
36,360,0.720000,0.361000,0.421594,0.993377,0.031119,0.042871,-0.101959,0.092396,-0.054140,-0.994249,6.533714,0.336180,-0.521278,1.691532,0.104384,-0.436509,0.368112,0.025663,0.732406,-0.330319,0.422883,0.7263,0.1414,0.0471,7.0182,
37,370,0.740000,0.371000,0.420365,0.992752,0.024599,0.038334,-0.111213,0.082675,-0.041780,-0.995700,6.658285,0.326473,-0.336894,1.744906,0.094528,-0.418590,0.378758,0.025734,0.992539,-0.284224,0.436226,1.1593,0.5333,0.0140,7.7254,
38,380,0.760000,0.381000,0.418673,0.992291,0.016439,0.033576,-0.118158,0.071638,-0.026369,-0.997082,6.765437,0.319733,-0.196165,1.757441,0.065891,-0.396374,0.387290,0.025486,1.181066,-0.249041,0.439360,1.5929,0.9251,-0.0344,8.2456,
39,390,0.780000,0.391000,0.416637,0.991949,0.007367,0.029498,-0.122937,0.061287,-0.009183,-0.998078,6.869117,0.323209,-0.087657,1.745633,0.015411,-0.372112,0.391684,0.023867,1.240581,-0.221914,0.436408,1.8312,1.2254,-0.1011,8.5368,
40,400,0.800000,0.401000,0.414305,0.991674,-0.002284,0.026908,-0.125912,0.053422,0.009358,-0.998528,6.981656,0.338938,-0.015536,1.715432,-0.040217,-0.347968,0.391604,0.019887,1.209012,-0.203884,0.428858,1.9681,1.4561,-0.1907,8.6845,
41,410,0.820000,0.411000,0.411638,0.991411,-0.012357,0.026413,-0.127491,0.049422,0.029162,-0.998352,7.102365,0.370041,0.036983,1.673088,-0.088646,-0.325432,0.387572,0.013617,1.109075,-0.190754,0.418272,1.9828,1.6238,-0.2685,8.7065,
42,420,0.840000,0.421000,0.409835,0.991878,-0.019720,0.030043,-0.122013,0.053614,0.045496,-0.997525,7.185634,0.450509,0.260051,1.561998,-0.235582,-0.310860,0.387608,0.016132,0.492116,-0.134987,0.390499,2.8650,1.1448,-0.9451,8.6645,
43,430,0.860000,0.431000,0.410232,0.992516,-0.016501,0.038796,-0.114606,0.071185,0.042786,-0.996545,7.262878,0.521135,0.457575,1.480457,-0.329803,-0.314741,0.368237,0.008072,-0.713466,-0.085606,0.370114,6.4628,2.8943,-1.4123,9.0938,
44,440,0.880000,0.441000,0.411663,0.992601,-0.009501,0.048710,-0.110819,0.092585,0.030791,-0.995229,7.349192,0.564362,0.554047,1.408727,-0.355054,-0.330452,0.337725,0.001805,-0.750697,-0.061488,0.352182,8.4714,3.2042,-2.0718,9.2355,
45,450,0.900000,0.451000,0.412768,0.992169,-0.001453,0.057463,-0.110892,0.112021,0.017008,-0.993560,7.433028,0.590911,0.518659,1.348202,-0.309880,-0.341546,0.306935,-0.007411,-0.233033,-0.070335,0.337050,8.7513,3.4810,-1.2134,9.1291,
46,460,0.920000,0.461000,0.413099,0.991513,0.005757,0.063702,-0.113188,0.126545,0.004076,-0.991952,7.542359,0.608823,0.426349,1.255649,-0.248755,-0.341705,0.280474,-0.024433,0.119075,-0.093413,0.313912,7.9625,3.5146,-0.3512,9.4319,
47,470,0.940000,0.471000,0.413048,0.991050,0.012635,0.067964,-0.114195,0.136753,-0.008282,-0.990571,7.607721,0.623853,0.344245,1.172468,-0.197943,-0.339473,0.253954,-0.034850,0.134710,-0.113939,0.293117,7.1797,3.8348,-0.2234,9.1519,
48,480,0.960000,0.481000,0.412820,0.990755,0.019669,0.071132,-0.113836,0.144718,-0.021281,-0.989244,7.623198,0.649426,0.303090,1.108962,-0.202774,-0.338373,0.225607,-0.038617,-0.063025,-0.124227,0.277241,6.8276,4.3838,-0.4279,8.2888,
49,490,0.980000,0.491000,0.412761,0.990415,0.029104,0.073490,-0.113274,0.151610,-0.038706,-0.987682,7.598547,0.673779,0.251465,1.067939,-0.201137,-0.341041,0.191470,-0.035770,-0.036109,-0.137134,0.266985,6.5586,5.3803,-0.5834,7.7193,
50,500,1.000000,0.501000,0.412798,0.989671,0.041203,0.073629,-0.115896,0.155179,-0.062241,-0.985924,7.565939,0.683363,0.150921,1.035354,-0.153265,-0.338849,0.155897,-0.039169,0.212536,-0.162270,0.258839,5.7327,5.7767,0.0579,7.0174,
