step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
22,220,0.440000,0.176800,0.403854,0.994373,0.048901,0.082680,-0.044668,0.168570,-0.089422,-0.981625,3.625844,-0.176934,-0.522325,0.777953,0.410808,-0.330905,0.142276,0.148611,-0.338449,-0.330581,0.194488,0.5485,1.6350,-0.9187,4.9780,
23,230,0.460000,0.184800,0.404263,0.993996,0.051496,0.083630,-0.048239,0.171039,-0.093880,-0.980781,3.691619,-0.199675,-0.534499,0.793913,0.432001,-0.341524,0.139107,0.144635,-0.535919,-0.333625,0.198478,1.1321,1.8356,-1.0057,4.8148,
24,240,0.480000,0.192800,0.404611,0.993662,0.053696,0.084677,-0.050825,0.173570,-0.097752,-0.979958,3.748449,-0.208530,-0.537222,0.770797,0.380669,-0.355533,0.138002,0.142172,-0.653308,-0.334305,0.192699,1.6372,1.8499,-0.8771,4.7420,
25,250,0.500000,0.200800,0.404871,0.993411,0.055644,0.085321,-0.052529,0.175374,-0.101237,-0.979283,3.792378,-0.230359,-0.537047,0.768259,0.359651,-0.373170,0.137863,0.138926,-0.804647,-0.334262,0.192065,2.3729,1.6407,-1.0729,4.0791,
26,260,0.520000,0.208800,0.404901,0.993294,0.057481,0.084566,-0.053955,0.174566,-0.104731,-0.979060,3.868265,-0.285657,-0.577377,0.787957,0.414043,-0.392667,0.138655,0.135092,-0.838727,-0.344344,0.196989,3.0102,1.4978,-1.1101,4.0427,
27,270,0.540000,0.216800,0.404763,0.993316,0.058999,0.082124,-0.055655,0.170382,-0.107800,-0.979464,3.975044,-0.350953,-0.664994,0.823623,0.464354,-0.410935,0.141616,0.132853,-0.740419,-0.366249,0.205906,3.1083,1.3732,-0.7638,4.4366,
28,280,0.560000,0.224800,0.404519,0.993413,0.060371,0.078424,-0.057764,0.163633,-0.110597,-0.980302,4.079749,-0.408071,-0.749386,0.859665,0.489681,-0.425813,0.146385,0.131890,-0.565615,-0.387347,0.214916,2.6354,1.3781,-0.4324,4.5201,
29,290,0.580000,0.232800,0.404123,0.993551,0.061558,0.073906,-0.060036,0.155224,-0.113217,-0.981370,4.161982,-0.455464,-0.791144,0.886993,0.494085,-0.437397,0.152819,0.131599,-0.431881,-0.397786,0.221748,2.1493,1.3224,-0.2676,4.7289,
30,300,0.600000,0.240800,0.403504,0.993787,0.062270,0.068542,-0.061742,0.145085,-0.115148,-0.982696,4.373795,-0.502846,-0.764891,0.902327,0.499894,-0.446806,0.161595,0.131412,-0.339046,-0.391223,0.225582,1.9792,1.0717,-0.2246,4.7522,
31,310,0.620000,0.248800,0.402604,0.994169,0.062273,0.062009,-0.062489,0.132505,-0.116009,-0.984370,4.580483,-0.557891,-0.667970,0.891379,0.539237,-0.453585,0.173346,0.131136,-0.190313,-0.366992,0.222845,2.1563,0.6178,-0.1663,4.5831,
