step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
22,220,0.440000,0.176800,0.429127,0.989751,-0.004547,-0.134199,0.048619,-0.265036,0.021808,-0.963992,5.688621,-0.538307,0.037081,1.387254,2.049496,-0.000032,-0.044246,-0.039224,0.004722,-0.190730,0.346814,-6.3490,12.3885,17.2793,22.0000,
23,230,0.460000,0.184800,0.430202,0.989550,-0.004489,-0.133275,0.054843,-0.263748,0.023469,-0.964306,5.555466,-0.552008,0.201963,1.249822,1.855575,0.000056,-0.044307,-0.037671,0.003768,-0.149509,0.312455,-5.7292,11.7433,16.3815,22.0000,
24,240,0.480000,0.192800,0.431853,0.989739,-0.003371,-0.129024,0.061305,-0.256073,0.022694,-0.966391,5.502120,-0.569644,0.415298,1.103233,1.644748,0.000107,-0.044522,-0.036046,0.001667,-0.096175,0.275808,-4.4910,10.7276,14.8761,22.0000,
25,250,0.500000,0.200800,0.433890,0.990215,-0.001572,-0.122204,0.067360,-0.243280,0.019937,-0.969751,5.535555,-0.588445,0.615018,0.991207,1.471524,0.000107,-0.044755,-0.034503,-0.000980,-0.046245,0.247802,-2.8870,9.6328,13.2590,22.0000,
26,260,0.520000,0.208800,0.435883,0.990796,0.000640,-0.114371,0.072406,-0.228235,0.015773,-0.973478,5.627883,-0.601561,0.729076,0.951944,1.362161,0.000050,-0.044927,-0.033113,-0.003719,-0.017731,0.237986,-1.3833,8.7926,11.9298,22.0000,
27,270,0.540000,0.216800,0.437359,0.991284,0.003225,-0.107560,0.076002,-0.214853,0.010529,-0.976590,5.779900,-0.607614,0.720843,0.997559,1.327128,-0.000055,-0.045030,-0.031853,-0.005762,-0.019789,0.249390,-0.5216,8.4963,11.0802,22.0000,
28,280,0.560000,0.224800,0.437971,0.991510,0.006143,-0.103505,0.078462,-0.206691,0.004666,-0.978395,5.966474,-0.609220,0.651664,1.107328,1.358118,-0.000186,-0.044988,-0.030655,-0.006599,-0.037084,0.276832,-0.5782,8.8171,10.7850,22.0000,
29,290,0.580000,0.232800,0.437713,0.991344,0.009409,-0.103639,0.080049,-0.206624,-0.001449,-0.978419,6.162162,-0.602902,0.584210,1.234776,1.453276,-0.000306,-0.044798,-0.029511,-0.006043,-0.053947,0.308694,-1.0943,9.6387,10.9846,22.0000,
30,300,0.600000,0.240800,0.436585,0.990929,0.013092,-0.106959,0.080297,-0.213145,-0.008092,-0.976987,6.356412,-0.589974,0.546524,1.349742,1.576699,-0.000405,-0.044741,-0.028314,-0.004066,-0.063369,0.337435,-1.6002,10.6001,11.6577,22.0000,
31,310,0.620000,0.248800,0.435264,0.990239,0.017003,-0.112542,0.080443,-0.224370,-0.014890,-0.974390,6.494295,-0.579536,0.482677,1.429894,1.663035,-0.000450,-0.044691,-0.027136,-0.001099,-0.079331,0.357474,-1.8859,11.4540,12.5586,22.0000,
32,320,0.640000,0.256800,0.434590,0.989297,0.020559,-0.119138,0.081706,-0.237687,-0.020735,-0.971121,6.520984,-0.572445,0.377547,1.473934,1.755600,-0.000446,-0.044586,-0.026020,0.000556,-0.105613,0.368483,-2.3674,12.0546,13.1686,22.0000,
33,330,0.660000,0.264800,0.434196,0.988055,0.023984,-0.126454,0.084742,-0.252346,-0.025527,-0.967300,6.478439,-0.569418,0.299738,1.493695,1.861786,-0.000425,-0.044509,-0.024862,0.001737,-0.125065,0.373424,-3.1582,12.3848,13.8255,22.0000,
34,340,0.680000,0.272800,0.433911,0.986577,0.027302,-0.133602,0.089834,-0.267158,-0.029551,-0.963199,6.357385,-0.567573,0.224147,1.503949,1.953541,-0.000383,-0.044468,-0.023658,0.002383,-0.143963,0.375987,-3.7441,12.5341,14.5814,22.0000,
35,350,0.700000,0.280800,0.433650,0.984946,0.030331,-0.139676,0.097220,-0.279932,-0.032355,-0.959475,6.118066,-0.562569,0.193067,1.478616,2.015836,-0.000327,-0.044452,-0.022405,0.002968,-0.151733,0.369654,-4.3135,12.6133,15.2286,22.0000,
36,360,0.720000,0.288800,0.433470,0.983274,0.032954,-0.143936,0.106622,-0.289331,-0.034000,-0.956625,5.897743,-0.557426,0.253569,1.427278,2.027069,-0.000271,-0.044434,-0.021140,0.002671,-0.136608,0.356820,-4.5479,12.4198,15.6592,22.0000,
37,370,0.740000,0.296800,0.433482,0.981562,0.035491,-0.146414,0.117643,-0.295305,-0.035075,-0.954759,5.763672,-0.560004,0.381199,1.361460,1.980058,-0.000233,-0.044394,-0.019903,0.001445,-0.104700,0.340365,-4.0934,12.0332,15.7080,22.0000,
38,380,0.760000,0.304800,0.433793,0.979873,0.038121,-0.147755,0.128702,-0.299100,-0.036538,-0.953522,5.717883,-0.569554,0.499618,1.313980,1.929042,-0.000225,-0.044364,-0.018703,-0.000499,-0.075096,0.328495,-3.1335,11.5397,15.3229,22.0000,
39,390,0.780000,0.312800,0.434223,0.978259,0.040906,-0.148486,0.138881,-0.301652,-0.038562,-0.952638,5.759534,-0.584274,0.592144,1.306894,1.893834,-0.000251,-0.044344,-0.017536,-0.001919,-0.051964,0.326724,-2.2425,11.1807,14.9088,22.0000,
40,400,0.800000,0.320800,0.434558,0.976692,0.044013,-0.149124,0.147982,-0.304021,-0.041488,-0.951762,5.871714,-0.599640,0.621982,1.343949,1.857305,-0.000306,-0.044351,-0.016370,-0.003030,-0.044505,0.335987,-1.5452,11.1351,14.6061,22.0000,
41,410,0.820000,0.328800,0.434669,0.975222,0.047213,-0.150393,0.155225,-0.307522,-0.045014,-0.950476,5.969961,-0.604766,0.576904,1.404408,1.846864,-0.000385,-0.044349,-0.015214,-0.003925,-0.055774,0.351102,-1.3177,11.4127,14.2980,22.0000,
42,420,0.840000,0.336800,0.434473,0.973739,0.050640,-0.152832,0.160967,-0.313207,-0.049026,-0.948419,6.093201,-0.601313,0.515620,1.474320,1.859222,-0.000475,-0.044327,-0.014063,-0.004514,-0.071095,0.368580,-1.6522,11.8590,14.1882,22.0000,
43,430,0.860000,0.344800,0.434036,0.972073,0.054373,-0.156885,0.165847,-0.321996,-0.053226,-0.945244,6.226622,-0.593882,0.472626,1.529341,1.899893,-0.000553,-0.044301,-0.012910,-0.003640,-0.081844,0.382335,-2.1108,12.3845,14.2451,22.0000,
44,440,0.880000,0.352800,0.433412,0.970078,0.058367,-0.162634,0.170566,-0.334074,-0.057396,-0.940798,6.292200,-0.581279,0.424586,1.551108,1.994864,-0.000610,-0.044296,-0.011737,-0.002407,-0.093853,0.387777,-2.4334,12.7965,14.5145,22.0000,
45,450,0.900000,0.360800,0.432606,0.967630,0.062635,-0.169907,0.175786,-0.349178,-0.061135,-0.935060,6.295600,-0.571152,0.344658,1.560624,2.089008,-0.000665,-0.044476,-0.010172,-0.006502,-0.113836,0.390156,-2.7859,13.0250,15.0531,22.0000,
46,460,0.920000,0.368800,0.431623,0.964661,0.067295,-0.178195,0.182065,-0.366503,-0.064635,-0.928169,6.186846,-0.559128,0.237837,1.547572,2.170943,-0.000837,-0.045696,-0.006441,-0.009214,-0.140541,0.386893,-3.3761,13.1762,15.5742,22.0000,
47,470,0.940000,0.376800,0.430543,0.961124,0.071901,-0.186860,0.190143,-0.384696,-0.066977,-0.920610,6.007442,-0.544273,0.189809,1.489380,2.242941,-0.001009,-0.046836,-0.003410,-0.008378,-0.152548,0.372345,-4.1734,13.0855,16.1964,22.0000,
48,480,0.960000,0.384800,0.429433,0.956991,0.076372,-0.195391,0.200396,-0.402775,-0.067872,-0.912779,5.815597,-0.533131,0.226592,1.394524,2.277106,-0.001165,-0.047698,-0.001352,-0.007397,-0.143352,0.348631,-4.5304,12.6564,16.7360,22.0000,
49,490,0.980000,0.392800,0.428313,0.952252,0.080713,-0.203438,0.212870,-0.420137,-0.067250,-0.904965,5.632664,-0.527959,0.313832,1.272388,2.279410,-0.001308,-0.048338,-0.000047,-0.007147,-0.121542,0.318097,-4.2506,11.9504,17.0033,22.0000,
50,500,1.000000,0.400800,0.427171,0.946915,0.084949,-0.210875,0.227304,-0.436412,-0.065266,-0.897377,5.496507,-0.530956,0.420125,1.159729,2.255004,-0.001452,-0.048820,0.000719,-0.007385,-0.094969,0.289932,-3.5916,11.0392,17.0294,22.0000,
51,510,1.020000,0.408800,0.425934,0.941019,0.089024,-0.217837,0.243114,-0.451773,-0.062009,-0.889975,5.402783,-0.537524,0.540122,1.081493,2.220243,-0.001595,-0.049195,0.001171,-0.006787,-0.064969,0.270373,-2.7910,10.2013,16.8497,22.0000,
52,520,1.040000,0.416800,0.424491,0.934584,0.092956,-0.224657,0.259695,-0.466700,-0.057550,-0.882541,5.371720,-0.541589,0.655945,1.040210,2.203742,-0.001736,-0.049500,0.001450,-0.007109,-0.036014,0.260052,-1.8864,9.6196,16.5914,22.0000,
53,530,1.060000,0.424800,0.422755,0.927687,0.096901,-0.231967,0.276039,-0.482263,-0.052292,-0.874464,5.521628,-0.542044,0.723111,1.028911,2.192713,-0.001887,-0.049766,0.001619,-0.007435,-0.019222,0.257228,-1.0127,9.3142,16.4685,22.0000,
54,540,1.080000,0.432800,0.420496,0.920235,0.100878,-0.240389,0.291899,-0.499487,-0.046040,-0.865097,5.651417,-0.534851,0.712324,1.027484,2.213461,-0.002039,-0.049989,0.001742,-0.007611,-0.021919,0.256871,-0.5041,9.2326,16.3843,22.0000,
55,550,1.100000,0.440800,0.417615,0.911964,0.105020,-0.250618,0.307380,-0.519472,-0.038352,-0.853626,5.734334,-0.520795,0.661982,1.015482,2.266273,-0.002185,-0.050178,0.001855,-0.006924,-0.034505,0.253870,-0.5816,9.2241,16.5371,22.0000,
56,560,1.120000,0.448800,0.413983,0.902468,0.109490,-0.263084,0.323034,-0.543016,-0.028725,-0.839231,5.747830,-0.499769,0.576539,0.974291,2.347627,-0.002315,-0.050350,0.001979,-0.006118,-0.055865,0.243573,-0.9565,9.1404,16.9280,22.0000,
57,570,1.140000,0.456800,0.409621,0.891455,0.114409,-0.278023,0.339001,-0.570346,-0.016817,-0.821232,5.689480,-0.473863,0.462359,0.876998,2.442911,-0.002422,-0.050524,0.002118,-0.004862,-0.084410,0.219250,-1.5960,8.8376,17.5328,22.0000,
58,580,1.160000,0.464800,0.404222,0.878457,0.120092,-0.295422,0.355834,-0.601203,-0.002358,-0.799092,5.563212,-0.442914,0.363596,0.693336,2.546957,-0.002499,-0.050587,0.002215,-0.003515,-0.109101,0.173334,-2.4521,8.0921,18.2510,22.0000,
59,590,1.180000,0.472800,0.397498,0.862722,0.126754,-0.315724,0.374115,-0.635917,0.015518,-0.771601,5.455577,-0.415024,0.302958,0.405883,2.644673,-0.002559,-0.050560,0.002270,-0.002873,-0.124260,0.101471,-3.1919,6.7159,19.0303,22.0000,
60,600,1.200000,0.480800,0.389258,0.843955,0.134108,-0.339159,0.393353,-0.674030,0.037948,-0.737728,5.303885,-0.386450,0.241963,0.020194,2.737069,-0.002615,-0.050571,0.002334,-0.002815,-0.139509,0.005049,-3.6452,4.5636,19.7602,26.6341,
61,610,1.220000,0.488800,0.379162,0.821895,0.142163,-0.365372,0.413258,-0.714053,0.065314,-0.697038,5.190134,-0.358218,0.204787,-0.422012,2.796920,-0.002673,-0.050646,0.002406,-0.003069,-0.148803,-0.105503,-4.1005,1.6788,20.4507,35.5667,
62,620,1.240000,0.496800,0.366935,0.796614,0.151082,-0.394665,0.432227,-0.755152,0.097131,-0.648315,5.117726,-0.331120,0.133605,-0.870020,2.849563,-0.002773,-0.050774,0.002475,-0.007771,-0.166599,-0.217505,-4.3692,-1.6330,20.8979,36.0000,
63,630,1.260000,0.504800,0.352817,0.767603,0.161171,-0.427674,0.449338,-0.797319,0.133001,-0.588722,5.083274,-0.299410,0.046116,-1.329021,2.862122,-0.002885,-0.050918,0.002541,-0.003719,-0.188471,-0.332255,-4.9058,-4.9868,21.2904,36.0000,
64,640,1.280000,0.512800,0.336717,0.734979,0.171309,-0.462704,0.465150,-0.835990,0.174256,-0.520341,5.164403,-0.267825,-0.004083,-1.716819,2.811339,-0.002936,-0.051102,0.002604,-0.002002,-0.201021,-0.429205,-5.5631,-8.4211,21.3831,36.0000,
65,650,1.300000,0.520800,0.318007,0.699241,0.181036,-0.498478,0.479382,-0.867963,0.219955,-0.445263,5.335641,-0.237570,-0.030298,-2.057602,2.705867,-0.002975,-0.051293,0.002647,-0.002031,-0.207575,-0.514401,-5.9383,-11.3273,21.0029,36.0000,
66,660,1.320000,0.528800,0.296348,0.660550,0.189595,-0.534662,0.491797,-0.891044,0.270115,-0.364799,5.566865,-0.201002,-0.079176,-2.306758,2.582218,-0.003013,-0.051457,0.002653,-0.001706,-0.219794,-0.576689,-6.1343,-13.8771,20.2149,36.0000,
67,670,1.340000,0.536800,0.272307,0.618036,0.196491,-0.571921,0.502324,-0.903725,0.325621,-0.277941,5.765348,-0.154305,-0.164543,-2.480112,2.492010,-0.003046,-0.051613,0.002622,-0.000749,-0.241136,-0.620028,-6.5013,-15.7423,19.2911,36.0000,
68,680,1.360000,0.544800,0.247803,0.568751,0.200376,-0.612584,0.510992,-0.902740,0.390958,-0.179479,5.925007,-0.100627,-0.298452,-2.582178,2.423764,-0.003058,-0.051740,0.002568,-0.001123,-0.274613,-0.645545,-7.1406,-17.0387,18.6174,36.0000,
69,690,1.380000,0.552800,0.223383,0.514278,0.195854,-0.654637,0.518276,-0.879731,0.469289,-0.076425,6.263037,-0.033534,-0.468348,-2.596584,2.355159,-0.003060,-0.051824,0.002460,-0.002042,-0.317087,-0.649146,-8.1435,-17.8030,18.1096,36.0000,
70,700,1.400000,0.560800,0.195874,0.461065,0.189803,-0.691959,0.522098,-0.838872,0.543834,0.023194,6.497428,0.050582,-0.640287,-2.411388,2.266261,-0.003134,-0.051984,0.002423,-0.005849,-0.360072,-0.602847,-9.4098,-17.8988,17.5835,36.0000,
71,710,1.420000,0.568800,0.183384,0.454384,0.206802,-0.691293,0.522381,-0.842875,0.536482,0.041816,5.928694,0.169105,-0.582232,-1.583569,2.104727,-0.003290,-0.051953,0.002659,-0.002938,-0.345558,-0.395892,-10.6991,-16.5577,16.9126,36.0000,
72,720,1.440000,0.576800,0.185254,0.458627,0.215012,-0.687001,0.521019,-0.853365,0.520020,0.036716,6.109559,0.236169,-0.294381,-0.918243,1.812572,-0.003276,-0.051498,0.002554,0.000974,-0.273595,-0.229561,-10.2699,-10.3578,15.7211,36.0000,
73,730,1.460000,0.584800,0.189463,0.462730,0.220422,-0.684686,0.518170,-0.861344,0.506824,0.034862,6.358058,0.256071,0.083303,-0.441554,1.567542,-0.003290,-0.051309,0.002329,-0.000984,-0.179174,-0.110388,-8.1077,-5.3558,13.5424,36.0000,
74,740,1.480000,0.592800,0.192693,0.466487,0.225684,-0.683456,0.514144,-0.868983,0.493539,0.035879,6.171671,0.237703,0.170141,-0.131344,1.539793,-0.003300,-0.051197,0.002076,0.000453,-0.157465,-0.032836,-5.2769,-1.7827,11.7124,36.0000,
75,750,1.500000,0.600800,0.194952,0.469535,0.232733,-0.685074,0.506010,-0.877774,0.476933,0.045253,5.835767,0.195363,0.360399,0.112415,1.637344,-0.003344,-0.051122,0.001636,-0.004599,-0.109900,0.028104,-4.6167,0.5426,11.5364,36.0000,
76,760,1.520000,0.608800,0.195494,0.472353,0.243734,-0.689232,0.492377,-0.889857,0.451382,0.066401,5.700550,0.153665,0.751013,0.294708,1.863354,-0.003419,-0.051056,0.001363,-0.002870,-0.012247,0.073677,-3.1901,2.3699,12.2484,36.0000,
77,770,1.540000,0.616800,0.195532,0.477494,0.256390,-0.689545,0.480407,-0.903406,0.420963,0.081529,5.797967,0.090170,1.165484,0.485557,1.920161,-0.003492,-0.051141,0.001463,-0.003530,0.091371,0.121389,-0.2573,3.7545,13.9158,36.0000,
