step,mode,root_z,root_vz,root_roll,root_pitch,root_yaw,root_ang_vel_z,left_foot_force_z,right_foot_force_z,total_contact_force_z,left_foot_height,right_foot_height,left_in_contact,right_in_contact,action_knee_L,action_knee_R,target_knee_L,target_knee_R,dof_pos_knee_L,dof_pos_knee_R,dof_vel_knee_L,dof_vel_knee_R,torque_knee_L,torque_knee_R,torque_ratio_knee_L,torque_ratio_knee_R,action_hip_L,action_hip_R,target_hip_L,target_hip_R,dof_pos_hip_L,dof_pos_hip_R,torque_hip_L,torque_hip_R,torque_ratio_hip_L,torque_ratio_hip_R,action_ankle_L,action_ankle_R,target_ankle_L,target_ankle_R,dof_pos_ankle_L,dof_pos_ankle_R,torque_ankle_L,torque_ankle_R,torque_ratio_ankle_L,torque_ratio_ankle_R,projected_gravity_x,projected_gravity_y,reset_buf
10,A:stabilize,0.23582778871059418,0.9916308522224426,0.005204830784350634,-0.0056749554350972176,0.0016502701910212636,-0.001252075657248497,0.0,0.0,0.0,-0.14007866382598877,-0.14101848006248474,0,0,0.0,0.0,0.5,0.5,0.34454214572906494,0.34292030334472656,1.2633579969406128,1.2707496881484985,2.6333370208740234,2.643988609313965,0.07314825057983398,0.07344412803649902,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.27001845836639404,-0.26906275749206543,1.0390079021453857,1.0220519304275513,0.028861330615149602,0.028390331400765315,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.10716549307107925,-0.10016097873449326,-1.6303483247756958,-1.664311408996582,0.0741067420352589,0.07565051859075372,-0.0056749251671135426,-0.0052047232165932655,0
11,A:stabilize,0.25546202063560486,0.9781927466392517,0.0053845359943807125,-0.040376774966716766,0.0017170504434034228,0.002537364140152931,0.0,0.0,0.0,-0.11947974562644958,-0.12044864892959595,0,0,0.0,0.0,0.5,0.5,0.3823242485523224,0.3812866806983948,1.2460112571716309,1.2916321754455566,1.4425122737884521,1.4794635772705078,0.04006978538301256,0.04109621047973633,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.2576197385787964,-0.25673532485961914,0.6263742446899414,0.5912635326385498,0.017399284574720595,0.016423987017737493,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.12382068485021591,-0.11688141524791718,-1.1005597114562988,-1.301163673400879,0.050025441429831764,0.05914380333640359,-0.040365803986787796,-0.005380121059715748,0
12,A:stabilize,0.27482232451438904,0.9626914262771606,0.005586768034845591,-0.07557443529367447,0.0017936191288754344,0.017620105296373367,2.3135571479797363,0.0,2.3135571479797363,-0.09909048676490784,-0.10008605569601059,1,0,0.0,0.0,0.5,0.5,0.4139458239078522,0.41359132528305054,1.3074512481689453,1.3415483236312866,0.7345890998840332,0.5649299621582031,0.020405252774556477,0.015692498948838975,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.2436482161283493,-0.24289171397686005,0.22260832786560059,0.2915281057357788,0.00618356466293335,0.008098002937104967,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.1349293440580368,-0.1281343400478363,-1.0905543565750122,-1.232007384300232,0.04957065257159146,0.056000335650010544,-0.07550251483917236,-0.005570792593061924,0
13,A:stabilize,0.29393666982650757,0.9462419152259827,0.005732519086450338,-0.11090412735939026,0.0017712992848828435,0.00017479137750342488,10.817436218261719,3.0267391204833984,13.844175338745117,-0.07887442409992218,-0.07989147305488586,1,1,0.0,0.0,0.5,0.5,0.4413864016532898,0.44157788157463074,1.247690200805664,1.3353322744369507,-0.2351282835006714,-0.2238001823425293,0.006531341208351983,0.0062166717317369245,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.22949950397014618,-0.2287738025188446,0.08905398845672607,0.09251701831817627,0.002473721901575724,0.0025699171755048963,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.14106746017932892,-0.13500270247459412,-0.8295081853866577,-1.1909083127975464,0.03770491751757535,0.054132196036252106,-0.11067691445350647,-0.005697269458323717,0
14,A:stabilize,0.3128120005130768,0.9288132786750793,0.005783438216894865,-0.14631406962871552,0.0015987791121006012,-0.011696578934788704,29.313945770263672,2.9862818717956543,32.300227642059326,-0.05879077687859535,-0.059815913438797,1,1,0.0,0.0,0.5,0.5,0.4668147563934326,0.46741899847984314,1.2641382217407227,1.2327651977539062,-0.40371978282928467,-0.4295922517776489,0.011214438411924574,0.011933118104934692,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.21612335741519928,-0.2153741866350174,-0.5408196449279785,-0.5493189096450806,0.01502276791466607,0.015258858601252237,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.14392922818660736,-0.13898539543151855,-1.124642014503479,-1.2999508380889893,0.05112009156833996,0.05908867445859042,-0.14579257369041443,-0.005721611436456442,0
15,A:stabilize,0.3314673900604248,0.9187206625938416,0.0057411156594753265,-0.18189837038516998,0.0013808301882818341,-0.010401600040495396,37.90929412841797,10.713298797607422,48.62259292602539,-0.038781750947237015,-0.03977286443114281,1,1,0.0,0.0,0.5,0.5,0.4916090965270996,0.4931076765060425,1.1273386478424072,1.1610106229782104,-1.2383548021316528,-1.3443107604980469,0.03439874450365702,0.03734196556939019,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.20395085215568542,-0.20354238152503967,-0.7852626442909241,-0.7620513439178467,0.021812851230303448,0.021168092886606853,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.14468759298324585,-0.14050674438476562,-1.145115613937378,-1.2867412567138672,0.05205070972442627,0.05848823894153942,-0.18089693784713745,-0.005646368023008108,0
16,A:stabilize,0.3498675525188446,0.8970463871955872,0.005743090528994799,-0.218736931681633,0.0010418619494885206,0.003346957266330719,67.67459869384766,60.27593231201172,127.95053100585938,-0.018824677914381027,-0.019795721396803856,1,1,0.0,0.0,0.5,0.5,0.5183173418045044,0.5206079483032227,1.3116570711135864,1.3233898878097534,-2.4174060821533203,-2.539827346801758,0.06715016894870335,0.07055075963338216,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.19216588139533997,-0.19204938411712646,-1.0229783058166504,-1.0008217096328735,0.02841606405046251,0.0278006030453576,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.14579235017299652,-0.14308950304985046,-1.0106301307678223,-1.0971860885620117,0.04593773321671919,0.049872094934636894,-0.21699681878089905,-0.005606214981526136,0
17,A:stabilize,0.3681061267852783,0.8941570520401001,0.0054588052444159985,-0.25676101446151733,0.0007272050715982914,-0.010005440562963486,73.77277374267578,77.414794921875,151.18756866455078,0.0010151788592338562,0.00012344121932983398,1,1,0.0,0.0,0.5,0.5,0.5428327322006226,0.5460952520370483,1.2052357196807861,1.2352573871612549,-2.9790539741516113,-3.1074743270874023,0.0827514992819892,0.0863187313079834,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.17876218259334564,-0.1790105700492859,-1.505356788635254,-1.4905091524124146,0.041815466350979276,0.04140303201145596,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.14541326463222504,-0.14425501227378845,-1.1486343145370483,-1.1495789289474487,0.052210650660774925,0.05225358767942949,-0.2539490759372711,-0.00527982646599412,0
18,A:stabilize,0.3862382471561432,0.8846501111984253,0.00520664406940341,-0.29428431391716003,0.0005314074223861098,-0.009301241487264633,73.70059967041016,77.94197082519531,151.64257049560547,0.020858459174633026,0.02004917897284031,1,1,0.0,0.0,0.5,0.5,0.5639144778251648,0.5682898759841919,1.043607234954834,1.0692445039749146,-3.394892692565918,-3.5594687461853027,0.09430257479349773,0.09887413183848064,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.16616106033325195,-0.16685327887535095,-1.8019119501113892,-1.7713825702667236,0.05005310972531637,0.04920507139629788,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.14138640463352203,-0.14158673584461212,-1.3866946697235107,-1.3668545484542847,0.06303157589652321,0.062129752202467484,-0.2900550067424774,-0.004982787650078535,0
19,A:stabilize,0.40416350960731506,0.8552279472351074,0.0047332472167909145,-0.33071982860565186,0.0003527076914906502,-0.026814650744199753,28.880104064941406,48.659767150878906,77.53987121582031,0.040605127811431885,0.03993012756109238,1,1,0.0,0.0,0.5,0.5,0.5799182653427124,0.5858449935913086,0.3714292645454407,0.38263726234436035,-3.718942642211914,-3.900393486022949,0.10330396228366429,0.10834426350063747,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.15502165257930756,-0.15630535781383514,-1.9778964519500732,-1.940559983253479,0.054941568109724254,0.053904443979263306,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.12999583780765533,-0.13187476992607117,-1.7323718070983887,-1.6939020156860352,0.07874417304992676,0.07699554616754706,-0.3247239291667938,-0.0044767288491129875,0
