step,mode,root_z,root_vz,root_roll,root_pitch,root_yaw,root_ang_vel_z,left_foot_force_z,right_foot_force_z,total_contact_force_z,left_foot_height,right_foot_height,left_in_contact,right_in_contact,action_knee_L,action_knee_R,target_knee_L,target_knee_R,dof_pos_knee_L,dof_pos_knee_R,dof_vel_knee_L,dof_vel_knee_R,torque_knee_L,torque_knee_R,torque_ratio_knee_L,torque_ratio_knee_R,action_hip_L,action_hip_R,target_hip_L,target_hip_R,dof_pos_hip_L,dof_pos_hip_R,torque_hip_L,torque_hip_R,torque_ratio_hip_L,torque_ratio_hip_R,action_ankle_L,action_ankle_R,target_ankle_L,target_ankle_R,dof_pos_ankle_L,dof_pos_ankle_R,torque_ankle_L,torque_ankle_R,torque_ratio_ankle_L,torque_ratio_ankle_R,projected_gravity_x,projected_gravity_y,reset_buf
10,B:stabilize,0.43173903226852417,-0.7133702635765076,-0.03994729369878769,-0.2431519776582718,-2.9273173809051514,0.7897254824638367,0.0,0.0,0.0,0.06086505949497223,0.0665816143155098,0,0,0.0,0.0,0.5,0.5,0.5077440738677979,0.510953426361084,-0.22596363723278046,-0.04023964703083038,0.07519572973251343,-0.3003690242767334,0.002088770270347595,0.00834358400768704,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.19320255517959595,-0.18090170621871948,0.25302669405937195,-0.5305224657058716,0.0070285192794269985,0.014736735158496432,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.19691281020641327,-0.18886545300483704,0.011300936341285706,-0.08332671225070953,0.0005136789246038957,0.003787577829577706,-0.24076306819915771,0.03876188397407532,0
11,B:stabilize,0.41527098417282104,-0.8375494480133057,-0.04281412437558174,-0.25505247712135315,-2.910715103149414,1.1072496175765991,270.5810852050781,0.0,270.5810852050781,0.04591097682714462,0.0512363575398922,1,0,0.0,0.0,0.5,0.5,0.5109879970550537,0.5098931193351746,2.0448620319366455,0.11882138252258301,0.17996889352798462,-0.18329472839832306,0.004999135931332906,0.0050915202332867514,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.20180149376392365,-0.1834830492734909,0.4248102009296417,-0.34792500734329224,0.011800283359156715,0.009664583537313674,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.18763278424739838,-0.1918725222349167,0.0482817217707634,-0.04439607262611389,0.002194623716852882,0.002018003301186995,-0.25229617953300476,0.04141642898321152,0
12,B:stabilize,0.40274322032928467,-0.4463306665420532,-0.031762901693582535,-0.2800389230251312,-2.901035785675049,0.8539501428604126,395.59295654296875,142.37847900390625,537.971435546875,0.04007914662361145,0.04097902029752731,1,1,0.0,0.0,0.5,0.5,0.5883340239524841,0.5537753105163574,7.654569149017334,3.369999647140503,-6.879549503326416,-7.832491874694824,0.19109859731462267,0.2175692187415229,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.23883867263793945,-0.1983681470155716,3.211902618408203,2.654240369796753,0.08921951717800564,0.07372889916102092,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.08561896532773972,-0.11049903184175491,-8.568097114562988,-6.6489057540893555,0.3894589597528631,0.3022229888222434,-0.2763930559158325,0.030520431697368622,0
13,B:stabilize,0.3999674916267395,-0.09657317399978638,-0.02657262235879898,-0.32976779341697693,-2.8920695781707764,0.3185631036758423,132.26300048828125,84.1854248046875,216.44842529296875,0.04001253843307495,0.0400015190243721,1,1,0.0,0.0,0.5,0.5,0.6507611274719238,0.6198526620864868,1.8352627754211426,1.7929213047027588,-7.6368889808654785,-7.019601345062256,0.21213580502404106,0.19498892625172934,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.21226371824741364,-0.17416198551654816,-2.1595113277435303,-3.532750129699707,0.05998642577065362,0.09813194804721409,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.12286169826984406,-0.12561765313148499,-0.4773132801055908,0.27345263957977295,0.021696058186617764,0.012429665435444225,-0.32382336258888245,0.02513786591589451,0
14,B:stabilize,0.3988359570503235,-0.08816375583410263,-0.028723031282424927,-0.3700236976146698,-2.888629674911499,0.07581023126840591,109.24362182617188,71.2735366821289,180.51715850830078,0.040022239089012146,0.040004584938287735,1,1,0.0,0.0,0.5,0.5,0.6758063435554504,0.6424992680549622,0.8506377935409546,0.7742990851402283,-6.671853065490723,-5.540263652801514,0.18532925181918675,0.15389621257781982,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.18510591983795166,-0.14432638883590698,-2.240985155105591,-3.6075994968414307,0.062249587641821966,0.10021109713448419,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.1335998773574829,-0.13582642376422882,-0.9950882792472839,-0.9588599801063538,0.045231285420331085,0.04358454455028881,-0.36163753271102905,0.026775335893034935,0
15,B:stabilize,0.39758220314979553,-0.09088624268770218,-0.030031535774469376,-0.4000285267829895,-2.8874683380126953,0.009022249840199947,98.86361694335938,69.45451354980469,168.31813049316406,0.04004261642694473,0.04000893607735634,1,1,0.0,0.0,0.5,0.5,0.6870216727256775,0.6533721089363098,0.3176511526107788,0.36606067419052124,-6.179924011230469,-5.171828746795654,0.17166455586751303,0.14366190963321263,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.16990317404270172,-0.12858906388282776,-1.8835029602050781,-3.161010980606079,0.05231952667236328,0.08780586057239109,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.12944799661636353,-0.1314222365617752,-1.7662551403045654,-1.6211464405059814,0.08028432455929843,0.0736884745684537,-0.38944461941719055,0.02765638940036297,0
16,B:stabilize,0.39615100622177124,-0.09698549658060074,-0.030634203925728798,-0.4243890643119812,-2.887509822845459,-0.0261481124907732,91.86014556884766,66.95319366455078,158.81333923339844,0.04007739573717117,0.040009163320064545,1,1,0.0,0.0,0.5,0.5,0.6904913187026978,0.6581194996833801,0.05047539621591568,0.15268826484680176,-5.852587699890137,-4.969311237335205,0.1625718805525038,0.13803642325931126,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.16204683482646942,-0.12156133353710175,-1.6354588270187378,-2.809190511703491,0.0454294118616316,0.07803306976954143,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.11615974456071854,-0.11840669810771942,-2.3669846057891846,-2.2134978771209717,0.10759020935405385,0.10061353986913507,-0.41176411509513855,0.02791229635477066,0
17,B:stabilize,0.3944763243198395,-0.11012212187051773,-0.030415980145335197,-0.44591936469078064,-2.8884971141815186,-0.05165152996778488,86.09648895263672,64.42500305175781,150.52149200439453,0.0401533804833889,0.04000677913427353,1,1,0.0,0.0,0.5,0.5,0.6901180148124695,0.6603131890296936,-0.06690339744091034,0.050145938992500305,-5.629945755004883,-4.878725051879883,0.15638738208346897,0.13552014032999674,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.1588403880596161,-0.12021671235561371,-1.4264297485351562,-2.478843927383423,0.03962304857042101,0.06885677576065063,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.09740478545427322,-0.10036340355873108,-2.945115327835083,-2.825819730758667,0.1338688785379583,0.12844635139812122,-0.4312875270843506,0.02743750624358654,0
18,B:stabilize,0.39248862862586975,-0.12728014588356018,-0.02982291206717491,-0.46659061312675476,-2.8898584842681885,-0.045257311314344406,82.11033630371094,63.5074462890625,145.61778259277344,0.04024456441402435,0.04000653326511383,1,1,0.0,0.0,0.5,0.5,0.6885774731636047,0.6620478630065918,-0.08577210456132889,0.028852097690105438,-5.543119430541992,-4.903890609741211,0.15397553973727757,0.13621918360392252,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.1585008054971695,-0.12218596786260605,-1.2520297765731812,-2.2146122455596924,0.034778604904810585,0.06151700682110257,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.07556752115488052,-0.07966001331806183,-3.4750583171844482,-3.381239891052246,0.15795719623565674,0.15369272232055664,-0.44984397292137146,0.026631109416484833,0
19,B:stabilize,0.39015597105026245,-0.14643308520317078,-0.029246201738715172,-0.48783430457115173,-2.891251802444458,-0.06667401641607285,79.3575439453125,66.59646606445312,145.95401000976562,0.0403304323554039,0.040017902851104736,1,1,0.0,0.0,0.5,0.5,0.6873288750648499,0.6643437147140503,-0.029064111411571503,0.11049173772335052,-5.517917633056641,-5.036314487457275,0.1532754898071289,0.13989762465159097,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.15953999757766724,-0.1256120651960373,-1.1384400129318237,-2.023548126220703,0.03162333369255066,0.05620967017279731,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.05208587646484375,-0.05790312588214874,-4.044968128204346,-3.7960965633392334,0.18386218764565207,0.17254984378814697,-0.4687139391899109,0.025830945000052452,0
